,"color","latitude","longitude","name","phone","url","description","address","state","zip","city","couponOffer","logo","meta","area","type","category","hasShop","hasCoupon","expirationDate"
,"green",36.9742,-122.0276,"12 AM Design","(831)252-1378","www.12amdesign.com","Professional design has become something that businesses can't do without. 12 AM Design exists for all creative projects at the professional level  but with a personal touch. Make it a reality with 12 AM Design  and remember  ideas come at all hours!","877 Cedar St.","CA",95060,"Santa Cruz",,"logo_12AMDesign.png","Design  Graphic Design  Illustration  Print  Creative Projects","Santa Cruz","Bronze","Graphic Design & Illustration","y","n",
,"red",36.9747,-122.0314,"360 Payment Solutions",,"www.360paymentsolutions.com","360 Payment Solutions is a locally owned credit card processing company that works with more than 800 merchants in the Bay Area.  We provide full disclosure pricing  guaranteed rates  and local (in-person) technicians who service you equipment. ","1330 S. Bascom Ave Ste B","CA",95128,"San Jose",,,,,,"Business Services","y","n",
,"gold",36.9803,-121.9651,"41st Avenue Liquor","(831) 475-5117",,"Locally owned & operated & serving Santa Cruz since1966 in the arched Brick building @ 41st Ave & Hwy 1 ","2155 41st Ave. ","CA",95010,"Capitola",,,,,,"Liquor Stores","y","n",
,"orange",36.9817,-121.9877,"A D Construction","(831) 477-9474","www.adconstruction.com","A D Construction is a full service General Contractor specializing in home renovations  additions  kitchen and bathroom remodels  new construction  fine woodworking and design build remodels. We offer proven quality  craftsmanship and creativity.","1105 Rodriguez Street","CA",95062,"Santa Cruz",,,,,,"Contractors  Construction & Design","y","n",
,"green",37.0408,-122.0241,"A Sign ASAP","831-438-7446","www.asignasap.com","Cut vinyl and digitally printed banners  magnetics  storefront  and vehicle signs.","75F Mt. Hermon Road","CA",95066,"Scotts Valley",,"logo_ASignASAP.jpg",,"Scotts Valley","Bronze","Marketing","y","n",
,"green",36.9884,-121.9766,"A.P.E.D. Appliance Parts and Equipment Dist","(831) 462-3456",,"Appliance Parts and Equipment Distributors","2315 Soquel Dr.  ","CA",95065,"Santa Cruz",,,,"Live Oak","Bronze","Home & Garden","y","n",
,"green",36.9769,-122.0158,"AA Safe & Security Co.","831 423-5415",,"Full service locksmith & security provider. AA Safe & Security Co. Specializes in Access Controls  CCTV  High Security Locks & Safes. Our store is locally owned / operated and currently has 7 local staff members.","712 Soquel Ave. ","CA",95062,"Santa Cruz",,,,"Santa Cruz","Bronze","Home","y","n",
,"green",36.9901,-121.9356,"Above Bar CPR","831-462-4376","www.abovebarcpr.com","Above Bar CPR is the leading American Heart AssociationÃÂ® training center in Santa Cruz County. We honor the American Heart AssociationÃ¢ÂÂs mission by providing our clients with the highest quality training possible.  ","3121 Park Ave","CA",95073,"Soquel",,"logo_AboveBarCPR.png","Safety Training  Cardio Pulmonary Resuscitation  First Aid  Healthcare Provider  First Responder  Emergency Medical Technician. ","Soquel","Bronze","Medical","y","n",
,"green",36.9762,-121.8858,"Above the Line","831 662-9081","www.abovetheline.org","Above the Line recruits  certifies and trains couples and individuals to become foster parents in its Treatment Foster Family agency. ","9081 Soquel Drive","CA",95003,"Aptos",,"logo_AboveTheLine.jpg",,"Aptos / La Selva","NonProfit","Non-Profits","y","n",
,"green",36.9815,-122.0028,"Absolute Auto Glass Inc.","(831) 469-3000","www.absoluteautoglass.net","We have been serving Santa Cruz County as a local business since 1997. Hands-on owner Samir Daoud has been in the Auto Glass industry since 1982. We offer the best in craftsmanship  quality  and customer service.  Credit cards & insurance accepted.","1709 Soquel Ave","CA",95062,"Santa Cruz",,"logo_AbsoluteAutoGlass.jpg","Auto Glass  Windshields  Car Windows  Truck Glass  slider  sliders  Mirrors  mirror  Door Glass  Doorglass  autoglass  Windshield  Rock Chip  Rockchip  Crack  Cracked  Scratched  Vent glass  door glass  back glass  quarter glass  chip repairs  windshields  crack repairs  windshield replacement  car window  autoglass  automotive glass  motor  95060  95062  95010  Santa Cruz  Capitola  Aptos  Live Oak  Scotts Valley  Watsonville  Local glass shops  locally owned","Santa Cruz","Bronze","Auto","y","n",
,"orange",36.9763,-121.9547,"Account By Design","831-477-7009","www.accountbydesign.com","Financial Services - Designed to Work For You. Income tax  Barbara Knirlberger  EA is committed to finding your lowest tax. ABD works with you to manage  organize and maintain the financial data whether you run a one-person operation or larger.","PO Box 1202","CA",95010,"Capitola",,,,"Capitola","Bronze","Accounting and Bookkeeping","n","n",
,"green",36.9811,-121.9096,"Ace's Flowers","(831) 688-2237","www.acesflowers.com","A unique european style bucket shop. Amy Scott of Ace's Flowers has 25 years experience in the floral industry. She started in the wholesale/ floral farm.","7520 Soquel Dr.","CA",95003,"Aptos",,,"Flowers Florist Delivery","Aptos / La Selva","Bronze","Home & Garden","y","n",
,"gold",37.0019,-121.9502,"Action Carpet & Upholstery Cleaning","(831) 818-2448","actioncarpetupholsterycleaning.net","Full Service carpet  upholstery & hard floor cleaning  flood dry-out  move-out cleaning  odor control","P.O. Box 1802","CA",95073,"Soquel",,,"gold","Santa Cruz","Gold","Home & Garden","n","n",
,"green",36.9848,-121.9650,"Advanced Blind & Shade","(831) 479-1109","www.advancedblind.com","Blinds - Shades - Shutters Made Right.  Made Right Here ","2605 41st Ave. ","CA",95073,"Soquel",,,,"Soquel","Bronze","Home & Garden","y","n",
,"orange",36.9737,-122.0320,"Adventure Out LLC","800-509-3954","http://www.adventureout.com","Adventure Out is California's premiere outdoor school specializing in surf camps  rock climbing classes  backpacking trips  mountain biking  and wilderness survival skills instruction. ","PO Box 7040","CA",95061,"Santa Cruz",,"logo_AdventureOut.jpg",,"Santa Cruz","Bronze","Tourism & Attractions","n","n",
,"orange",36.9692,-121.9656,"Affordable Heating & Air Service Corp","831 477-9276","www.477warm.com","Repair/replacement of furnaces  wall heaters & duct lines. We clean  home heating systems using our Pringle Power Vac truck  We also clean dryer vent lines. Family owned  local company in business since 1991. Licensed C-20 contractor.   ","4055 Reposa Ave","CA",95062,"Santa Cruz",,,"HVAC  wall heater repairs  furnace repairs  duct repairs  installations from scratch  wall heater replacement  furnace replacement  duct replacement  air duct cleaning  dryer vent cleaning  10% senior discount on labor  Visa  Mastercard  Discover  personal check  all work guaranteed  licensed  bonded  insured.","Santa Cruz","Silver","Contractors  Construction & Design","n","n",
,"green",37.0011,-121.8470,"Agape LaVie ORGANICS","831-684-1871","agapelavieorganics.com","Natural and non-toxic personal care products  made in small batches with the utmost concern for the well-being of our customers and our planet! ","577 Meadow Rd","CA",95003,"Aptos",,,"organic  non-toxic  lotions  creams  deoderant  syrums  cleanser  skin care  personal care products  ","Aptos / La Selva","Bronze","Health and Wellness Retail","y","n",
,"green",36.9782,-122.0040,"Aine Sweeney  DC - Non-Force Chiropractic","831-458-1218","www.nonforcechiropractic.com","Utilizing the chiropractic technique  DNFT which uses the nervous system to find irritations to the body causing pain or dysfunction  corrections are made using a thumb thrust. Changes are longer lasting and there is no popping or cracking!  ","549 Frederick St","CA",95062,"Santa Cruz",,,,"Santa Cruz","Bronze","Chiropractic","y","n",
,"green",36.9640,-122.0028,"Aldo's Harbor Restaurant","831-426-3736","aldos-cruz.com",,"616 Atlantic Ave","CA",95062,"Santa Cruz",,,,"Santa Cruz","Bronze","Restaurants","y","n",
,"green",36.9929,-121.8187,"Alfaro Family Vineyards & Winery","831-728-5172","www.alfarowine.com","Family owned and operated since 1998  Alfaro Family Vineyards & Winery produces Estate grown and bottled Pinot Noir  Chardonnay  Merlot & Syrah at their winery/tasting room in Corralitos.  Open for tasting & sales Saturdays 12 - 5. Please call.","420 Hames Rd  ","CA",95076,"Corralitos",,"logo_AlfaroWinery.jpg",,"Corralitos / Freedom","Bronze","Wineries","y","n",
,"orange",36.9744,-122.0300,"All American Stone  Tile & Grout Restoration & Maintenance","(831) 471-9816","www.allamericanca.com","We specialize in hard surface cleaning and sealing  using the most advanced powerful technology available.Tile & grout natural stone brick concrete & more. Indoor&outdoor  residential&commercial. Onsite demo&estimate. Satisfaction guaranteed.","P.O. Box 7892","CA",95061,"Santa Cruz",,,"clean cleaning tile grout stone marble limestone travertine brick concrete walkway patio floor shower counter bathtub sealing mold mildew dirt ","Santa Cruz","Bronze","Home","n","n",
,"green",36.9602,-122.0479,"Allterra Environmental  Inc.","(831) 425-2608","www.allterraenv.com","Allterra is a full-service environmental construction and consulting firm specializing in green retrofits  solar  water recycling and remediation  energy efficiency  and regulatory compliance for any commercial and residential application ","207-B McPherson Street  ","CA",95060,"Santa Cruz",,"logo_Allterra.jpg",,"Santa Cruz","Silver","Contractors  Construction & Design","y","n",
,"green",36.9602,-122.0479,"Allterra Solar","831-425-2608","www.allterrasolar.com","Allterra Solar is your Local Solar Power provider  a full service solar design and installation company. Allterra Solar offers $0 down solar with free installation to qualifying homeowners  as well as other financing options.","207 McPherson Street","CA",95060,"Santa Cruz",,"logo_AlterraSolar.png","Solar PV Local Solar Power Allterra Altera Alltera Alterra Santa Cruz Photovoltaic Sun Power ","Santa Cruz","Silver","Contractors  Construction & Design","y","n",
,"green",36.9628,-121.9880,"Aloha Island Grille","(831)479-3299","www.alohaislandgrille.com","Hawaiian style plate lunches in a great casual atmosphere  just blocks from the beach. Come enjoy our sunny patio and Aloha spirit. Open 7 days a week 11am till 8pm  come see why we are a local favorite. Beer and wine  Catering  Eat in or Take out.","1700 portola drive","CA",95062,"santa cruz",,"logo_AlohaIslandGrille.jpg",,"Santa Cruz","Bronze","Restaurants","y","n",
,"green",37.0239,-122.2141,"American Abalone Farms","831-457-2794","www.AmericanAbalone.net","Our farm provides a continuous supply of clean  fresh seawater to the abalone that are grown inside tanks with various types of local seaweeds. The farm is open for direct sales to the public every Saturday from 10 AM to 2 PM.   ","245 Davenport Landing Road","CA",95017,"Davenport",,,,"North Coast","Bronze","Grocers & Specialty Foods","y","n",
,"green",36.9670,-121.9650,"American Dream Realty","(831) 429-5700","www.adrhomes.com","We are a family owned and locally operated Santa Cruz real estate company since 1987. We have 3 real estate offices located in Santa Cruz  Scotts Valley  and Felton. ","1041 41st Ave","CA",95062,"Santa Cruz",,"logo_ADRealty.jpg","Santa Cruz Real Estate  Santa Cruz Homes for sale  Santa Cruz Properties  Aptos  Capitola Scotts Valley  Felton  Ben Lomond  Boulder Creek  ","Santa Cruz","Bronze","Real Estate","y","n",
,"green",36.9704,-122.0251,"Andy's Auto Supply","831-423-8400",,"Automotive parts and supplies; full automotive machine shop  and we now do installations of many parts.","901 Pacific Ave.","CA",95060,"Santa Cruz",,,,"Santa Cruz","Bronze","Auto","y","n",
