"Name","Description","Category","WebsiteURL","Phone","Address","City","Latitude","Longitude","Area","PhotoName","HasShop","HasCoupon","CouponURL","Keywords"
"ChrisPLamb Labs","Engineering and iPhone/iPad programming","Wino","http://cplamb.blogspot.com/","831-234-9927","123 Need Str.","Santa Cruz",36.97,-122,12,"abc.jpg","n","n","http://cplamb.blogspot.com/","computer, iOS"
"Pure Pleasure","We feature high-quality, non-toxic adult toys, and offer an ongoing sex-education program to enhance sexual pleasure and well-being.  Pure Pleasure aims to promote sexual diversity, offering something for ""The Pleasure Inside Us All"". ","Retail","http://www.purepleasureshop.com","831-466-9870","124 Need Str.","Santa Cruz",36.96,-121.97,12,"12awe.png","y","n","http://cplamb.blogspot.com/","winery"
"Aptos Landscape Supply","We supply and deliver Landscape, garden and building supplies to all of Santa Cruz County.","Nursery","http://aptoslandscapesupply.com","831 688 6211","125 Need Str.","Aptos / La Selva",36.99,-121.86,12,"abc.jpg","y","n","http://cplamb.blogspot.com/","store"
"B & B SMALL ENGINE REPAIR","B&B Small Engine Repair has been selling and servicing outdoor power equipment since 1993. Stocking a full line of Stihl, Honda and Husqvarna equipment plus a wide selection of hand tools and safety gear for local residential and commercial users.","Service","www.bandbsmallenginerepair.com","831-476-6306","126 Need Str.","Santa Cruz",36.99,-121.98,12,"13awe.png","y","n","http://cplamb.blogspot.com/","wood"
"Bamboo Giant Nursery","Bamboo Hedge Specialists.  Delivery and installations through out California. We also have Bamboo Products and supplies. 20 acres of beautiful Bamboo forest.  Come take a walk and have a picnic among the Bamboo. Open 7 days the week from 10-4.","Nursery","www.bamboogiant.com","831-216-3300","127 Need Str.","Aptos / La Selva",36.99,-121.85,12,"abc.jpg","y","n","http://cplamb.blogspot.com/","winery"
"Bay Bed & Mattress","Compare our locally made mattresses to any national brand - we build a better mattress for a lower price.","Retail","www.baybed.com","831-457-1201","128 Need Str.","Santa Cruz",36.98,-122.01,12,"14awe.png","y","n","http://cplamb.blogspot.com/","store"
"Bay Plumbing Supply & Showroom, inc.","Established in 1987, Bay Plumbing Supply is a family owned and operated plumbing supply wholesaler with a 2400 sq ft decorative plumbing showroom.  Our showroom is packed with hundreds of the latest styles in eco-friendly Kitchen and Bath fixtures.","Retail","www.bayplumbingsupply.com","831-475-2900","129 Need Str.","Santa Cruz",36.99,-121.99,12,"abc.jpg","y","y","http://cplamb.blogspot.com/","wood"
"Bettencourt Interiors","All phases of Residential and Commercial Interior Design.  Bettencourt Interiors is your resource for furnishings, flooring, custom window treatments and upholstery including shades, blinds and shutters.","Retail",,"831-464-7306","130 Need Str.","Santa Cruz",36.98,-122.02,12,"15awe.png","n","y","http://cplamb.blogspot.com/","winery"
"Monterey Bay Refinishing, Inc.","Durable repairs of bathtubs, sinks, countertops, vinyl window frames, etc.  Acrylic, fiberglass, cultured marble, terrazzo, cast iron, porcelain and more.  Residential and commercial. Serving local contractors and property owners since 1996.","Service",,"(831) 471-9816","131 Need Str.","Santa Cruz",37.01,-121.97,12,"abc.jpg","y","y","http://cplamb.blogspot.com/","store"
"Native Revival Nursery","As a native plant nursery in Aptos, we are dedicated to the flora and fauna of our state. We offer both plants and information to allow individuals to create hardy, drought tolerant gardens which are both beautiful and require little maintenance.","Nursery","www.nativerevival.com","831-684-1811","132 Need Str.","Aptos / La Selva",36.98,-121.92,12,"16awe.png","y","n","http://cplamb.blogspot.com/","wood"
